Questions,Answers
hello,"Hello, How may I help you?"
hi,"Hi, How may I help you?"
bye,Thanks for Visiting us.
what is the name of your University ?,Sindh Madresatual Islam University (smiu)
what does smiu stands for ?,smiu stands for Sindh Madresatual Islam University
in which country it is located ?,pakistan
where it is located ?,"it's located in boltan market karachi, sindh, pakistan"
is it hec verified ?,yes it's hec verifired
do you have mailing adress ?,"yes, it is ……"
what is mailing address of admission department?,email is admission@smiu.edu.pk
how many campuses do you have ? ,we have only one main campus and another one is in underconstruction
what degrees do you offer ?,we offer Bachelor's and masters degreee.
Degrees offered by your institution ?,we offer Bachelor's and masters degreee.
Academic year calendar,we offer you semester wise acadmic year calendar 
what Academic year calendar do you offer?,we offer you semester wise acadmic year calendar 
Classify your undergraduate institution,coeducation
Source of institutional control ,Sindh Government
is it private or government control institute ?,it comes under Sindh Government
what is web address?,www.smiu.edu.pk
do you have any personal portal?,yes 
in which fields you offers the bachelors?,"we offer bachelors in five fields these are : CS, BBA, Education, media sciences , and enviormental science"
how many shifts do you have ?,we have morning and evening shifts .
in which fields you offers the bachelors degree?,"we offer bachelors in five fields these are : CS, BBA, Education, media sciences , and enviormental science"
what is the fees prodcedure for bachelors?,it is based on semester wise based fee stucture 
what is the fees of BSCS ?,it is 31000 per semester
what is the fees of CS  bachelor's degree?,it is 31000 per semester
how can apply for admission ?,visit : http://www.smiu.edu.pk/admissions.php
schedule for admisssion,http://www.smiu.edu.pk/admissions.php
do you have any online platform for admission?,yes you can download form on website of university 
what is the admission of procedure in masters?,16 years of education in relevant field with 50% means 2.5 CGPA along with 50% of NTS-General score.
what is procedure in bachelors ?,Intermediate or equivalent with at least 50% marks in relevant field or equivalency of A Level (excluding general papers)
where can I find admission form?,you can find it own smiu website.
what is your testing procdure ?,"10% Matric, 40% Intermediate, 40% Entrance Test Marks, and 10% Interview."
do you accept NTS testing?,sorry sir we have our own testing procdeure.
what are the passing marks ?,passing marks for institute is 50 percentage.
how many seesion do you have ?,spring and fall we have these two session.
how many courses are offerd in one semeter?,mostly six courses are offerd per semester in Bachelor's
where can I find courses details semester wise of BSCS?,on our webiste please visit this page http://cs.smiu.edu.pk/bscs_program.php
where can I find courses details semester wise of BBA?,on our webiste please visit this page http://business.smiu.edu.pk/bba-program.php
where can I find courses details semester wise of BS Media Science?,on our webiste please visit this page http://media.smiu.edu.pk/bs-media-studies-new.php
where can I find courses details semester wise of BS Education?,on our webiste please visit this page http://edu.smiu.edu.pk/bs-education.php
where can I find courses details smester wise of BS Enviormental Science?,on our webiste please visit this page http://env.smiu.edu.pk/bs-environmental-sciences.php
courses details smester wise of bechelor in Enviormental Science?,on our webiste please visit this page http://env.smiu.edu.pk/bs-environmental-sciences.php
BBA bechelor of business administration courses details of semester wise,on our webiste please visit this page http://business.smiu.edu.pk/bba-program.php
bscs bechelor of computer science courses details of semester wise ,on our webiste please visit this page http://cs.smiu.edu.pk/bscs_program.php
courses details semester wise of BS Media Science?,on our webiste please visit this page http://media.smiu.edu.pk/bs-media-studies-new.php
courses details semester wise of bechelor in Media Science?,on our webiste please visit this page http://media.smiu.edu.pk/bs-media-studies-new.php
courses details semester wise of BS Education?,on our webiste please visit this page http://edu.smiu.edu.pk/bs-education.php
courses details semester wise of bechelor in Education?,on our webiste please visit this page http://edu.smiu.edu.pk/bs-education.php
courses details semester wise of bechelor in accounting and finance?,on our webiste please visit this page http://business.smiu.edu.pk/accounting-finance.php
where can I find courses details semester wise of bechelor in accounting and finance?,on our webiste please visit this page http://business.smiu.edu.pk/accounting-finance.php
where can I find courses details semester wise of master in business adminstration?,on our webiste please visit this page http://business.smiu.edu.pk/mba-program.php
courses details semester wise of master in business adminstration mba?,on our webiste please visit this page http://business.smiu.edu.pk/mba-program.php
semester wise courses details of mba?,on our webiste please visit this page http://business.smiu.edu.pk/mba-program.php
courses details semester wise of master science in Management Sciences,on our webiste please visit this page http://business.smiu.edu.pk/ms-management.php
courses details semester wise of ms in Management Sciences,on our webiste please visit this page http://business.smiu.edu.pk/ms-management.php
semester wise courses details of ms in management sciences,on our webiste please visit this page http://business.smiu.edu.pk/ms-management.php
semester wise courses details of ms in public administration ,on our webiste please visit this page http://business.smiu.edu.pk/public-administration.php
semester wise courses details of master science in public administration ,on our webiste please visit this page http://business.smiu.edu.pk/public-administration.php
where can I find courses details semester wise of master in public adminstration?,on our webiste please visit this page http://business.smiu.edu.pk/public-administration.php
where can I find courses details semester wise of master in computer science?,on our webiste please visit this page http://cs.smiu.edu.pk/mscs_program.php
courses details semester wise of mscs?,on our webiste please visit this page http://cs.smiu.edu.pk/mscs_program.php
semester wise courses details of mscs master science in computer science?,on our webiste please visit this page http://cs.smiu.edu.pk/mscs_program.php
postgraduate doctoral degree courses details of semester wise in computer science,on our webiste please visit this page http://cs.smiu.edu.pk/PhD_program.php
phd postgraduate doctoral degree courses details of semester wise in computer science,on our webiste please visit this page http://cs.smiu.edu.pk/PhD_program.php
Master of Science Education 2 Years Program courses details semester wsie,on our webiste please visit this page http://edu.smiu.edu.pk/ms-education.php
ms in Education courses details semester wsie,on our webiste please visit this page http://edu.smiu.edu.pk/ms-education.php
MS Environmental Sciences courses detail semester wise,on our webiste please visit this page http://env.smiu.edu.pk/ms-environmental-sciences.php
courses details semester wise of Master of Science Environmental Sciences MS (ES) 2 Years Program,on our webiste please visit this page http://env.smiu.edu.pk/ms-environmental-sciences.php
courses details semester wise of Master of Media Studies 2 Years Program.,on our webiste please visit this page http://media.smiu.edu.pk/ms-media-studies-new.php
 ms media studies courses details semester wise ,on our webiste please visit this page http://media.smiu.edu.pk/ms-media-studies-new.php
MS Social Sciences courses details semester wise ,on our webiste please visit this page http://media.smiu.edu.pk/ms-social-sciences.php
Master of Science Social Sciences courses details semester wise ,on our webiste please visit this page http://media.smiu.edu.pk/ms-social-sciences.php
what is the fees of BBA?,fee may vary so please visit our website www.smiu.edu.pk
what is the fees of Bs media science?,fee may vary so please visit our website www.smiu.edu.pk
what is the fee of BS enviormental science?,fee may vary so please visit our website www.smiu.edu.pk
what is the fees of BS education?,fee may vary so please visit our website www.smiu.edu.pk
what is the fees MBA ?,fee may vary so please visit our website www.smiu.edu.pk
what is phone number of administration?,phone : +92 21 99217501-3
does university have any parking area?,yes we parking area in university permisses
does university have any play ground?,yes we have a playground where students can play their intrested games.
what is the ranking of university in HEC list?,..
what are open hours of university ?,9:00 am to 6:00 pm
courses are student  selective choice or management  selective choice?,till it is university management selective choice?
what are opening days of university ?,monday to Friday opend.
how many courses are offferd to clear the bachelor's ?,52 courses are offered to be bachelor's degree holder.
Does university nay cafetirea ?,yes 
Does university any library ?,yes
does university have any point buses?,yes 
what is fees of point bus ?,10000 per semester and may vary according to uni policy
what are the roots of points?,main routes ….
point are only availbe for boys ?,no it's ofr both boys and girls
point are only availbe for girls ?,no it's ofr both boys and girls
what are the timings of point ?,….
does university have any e-library ,yes 
what is the capacity of students per section ?,30 students per class section
is mobile phones allowed in university premisses?,yes it is but not in classes
does university attends xtra cercular activites?,yes 
does university have any scholarship?,yes 
what CGPA is required for merit based scholarship?,4 CGPA
does university have any need based scholarship?,yes 
what percentage of attendence is required for eligible in exam ?,75 percentage
how terms of exams are conducted ?,there are two terms of exam on mid term is conducted after two months and another is final term is after 4 months 
Is faculty qualified for teaching subjects?,yes 
what is lowest qualification of teachers you have?, Bachelors 
does university organise any festival ?,yes 
does university organise any seminars ?,yes 
does university orgnizes any compitations?,yes 
can overseas student apply for this university ?,yes 
I am form USA can I apply in this university ?,yes 
forigen countries student can apply?,yes 
does university have any mosque?,yes 
where can I find fee voucher?,on your CMS portal
when will be new batch admission opend?,december and august
when will be next admission?,december and august
how many times do you collect admission?,after every 6 months 
what is the timing of admission test?,8:30 -3:00
what are the requiremtns of admission form ?,documents are mentioned on form and also on website
what documents are required for bachelor's admission?,documents are mentioned on form and also on website
what documents are required for masters admission?,documents are mentioned on form and also on website
is mobile phones allowed in admisison test?,no
when will be result announced of admission test ?,after a week of admission test.
what is last date of admission form submission ?,..
what percentage of marks are required for bacholrs ?,60 percentage of matriculation and 60 for intermediate
where is IT deprtment?,it is located in main building.
what are requirments of summer courses?,you must failed or less than 60 marks in a course.
which courses are offferd in summers?,depend on students strength
what is the fees of summer courses?,6000 per course
when summers admission will be start ?,
when will be classes of summers start?,
is point buses availble for summers?,yes
where is deen office ?,it is located at first floor of talpur house near to room 102.
where can I find deen of computer science ?,it is located at first floor of talpur house near to room 102.
where can I find deen of BBA ?,it is located at second floor of talpur house
can I freez a semester ?,"yes, if you have valid point for it just right application and submit it on the admission desk."
is it necessary to fill QEC?,yes 
is it necessary to fill teacher eveualtion form?,yes
does university have any learning managment system?,"yes, click on the link : http://lms.smiu.edu.pk:8012/"
where can i find LMS?,at smiu website in main menu LMS
i need a link of LMS,http://lms.smiu.edu.pk:8012/
does university have any personal radioFM?,yes it has http://smiu.fm/ FM 96.6
does university have sitting area ?,yes it has in front of SMIU hospital
where can i check my result ?,at your CMS.
form where i can download fee voucher ?,"form your CMS account, if you dont have one then you can get it from admission office by your id number"
when will be fee voucher updated?,it is in process 
when result will be annouced of interviews?,it will announced soon
my name is in selected list but did not get my interview greetings?,don't worry list sill be issued soon.
I applied online where will I get the admission slip?,slip will given to while entry test at main door admission help if did not get it on online site.
how to register a complain about lost id card ?,first you have file a FIR at nearest police station and then collect a challan voucher and submit it in any HBL bank.
what is the procedure of duplicate id card ?,first submit your paid challan at admission desk then wait for a week your card will be given to you.
what is the fees of duplicate id card ?,charges for duplicate cards is 500 PKR
describe university little more.,"Sindh Madressatul Islam University (SMIU) is a chartered University duly recognized by the Higher Education Commission of Pakistan. It is one of the oldest institutions in South Asia, which started as a school in 1885, became a college in 1943 and a university in February 2012."
detail about smiu.,"Sindh Madressatul Islam University (SMIU) is a chartered University duly recognized by the Higher Education Commission of Pakistan. It is one of the oldest institutions in South Asia, which started as a school in 1885, became a college in 1943 and a university in February 2012."
when this university establish?,"Sindh Madressatul Islam University (SMIU) is a chartered University duly recognized by the Higher Education Commission of Pakistan. It is one of the oldest institutions in South Asia, which started as a school in 1885, became a college in 1943 and a university in February 2012."
is it recognize by hec?,"Sindh Madressatul Islam University (SMIU) is a chartered University duly recognized by the Higher Education Commission of Pakistan. It is one of the oldest institutions in South Asia, which started as a school in 1885, became a college in 1943 and a university in February 2012."
